"Gene.symbol","logFC","P.Value","adj.P.Val"
"Dpt",-0.0945,0.409,0.669
"Sh3bgrl2",-0.107,0.409,0.669
"Deb1",-0.0917,0.41,0.669
"Serpini1",0.0602,0.41,0.669
"Ndufs2",-0.0485,0.41,0.669
"Slc22a21",0.0727,0.41,0.669
"Anapc7",-0.055,0.41,0.669
"Hsd3b3",0.087,0.41,0.669
"Vmn1r171",0.0637,0.41,0.669
"Bub3",0.0827,0.41,0.67
"Plppr4",0.0505,0.41,0.67
"Cyp4a12a",-0.0928,0.41,0.67
"Gm16867///Entpd4",0.105,0.41,0.67
"Gabrg3",0.0808,0.41,0.67
"Gjd2",0.119,0.411,0.67
"Dpep1",0.0965,0.411,0.67
"Prl3a1",0.079,0.411,0.67
"4933411G06Rik",-0.0757,0.411,0.67
"Retnla",0.0867,0.411,0.67
"Gngt1",0.0627,0.411,0.67
"Tle3",0.0623,0.411,0.67
"Ddx25",0.058,0.411,0.67
"Cep70",0.0503,0.411,0.671
"Krt36",0.0722,0.412,0.671
"Flot2",0.0718,0.412,0.671
"Crebrf",-0.0657,0.412,0.671
"S100a6",0.0648,0.412,0.671
"Smr2",0.0578,0.412,0.671
"Coq6",0.0692,0.412,0.671
"Tfdp1",-0.0743,0.413,0.672
"Zfp68",-0.0523,0.413,0.672
"Chst1",0.07,0.413,0.672
"Sgcb",0.0557,0.413,0.672
"1110059E24Rik",-0.0688,0.413,0.672
"Clcnka",0.055,0.413,0.672
"Nemf",-0.0482,0.413,0.672
"Selk",-0.0533,0.413,0.672
"H2-Q6///LOC68395///H2-Q8///H2-Q4",0.0582,0.413,0.672
"1700123O20Rik",-0.056,0.413,0.672
"Lhx6",0.0837,0.413,0.672
"Ubr7",-0.0763,0.413,0.672
"Sypl2",-0.0803,0.414,0.672
"Gspt2",0.068,0.414,0.672
"Ift81",-0.0717,0.414,0.672
"Jarid2",-0.102,0.414,0.673
"Aspscr1",0.0533,0.414,0.673
"Git2",-0.0528,0.414,0.673
"Igkv6-15",-0.079,0.414,0.673
"Mmd",-0.08,0.414,0.673
"Cnnm4",0.0802,0.414,0.673
"Slc26a2",-0.114,0.415,0.673
"Clvs1",0.0552,0.415,0.673
"Abcc6",-0.0898,0.415,0.673
"Bex2",0.0523,0.415,0.673
"Gpr137b-ps",0.0508,0.415,0.673
"Gm29770///Erh",-0.0552,0.415,0.673
"BC001981",0.0532,0.415,0.673
"Ccdc127",-0.0722,0.415,0.673
"Prpf39",-0.0533,0.415,0.673
"Pla2g4f",0.054,0.415,0.673
"Zfp322a",0.069,0.415,0.673
"Magea7-ps",0.0705,0.416,0.673
"Arpc3",-0.0625,0.416,0.673
"Stam",-0.0725,0.416,0.674
"Ythdf2",-0.083,0.416,0.674
"Ect2",-0.129,0.416,0.674
"F2rl1",0.0682,0.416,0.674
"Rpa2",0.0848,0.416,0.674
"Tmem263",0.0865,0.416,0.674
"H1fx",0.0497,0.416,0.674
"S100a16",0.0518,0.416,0.674
"Ubr1",-0.0742,0.416,0.674
"Hoxb3",0.0683,0.417,0.674
"Grk1",0.0613,0.417,0.674
"Asz1",-0.0617,0.417,0.674
"Fam131a",0.0572,0.417,0.674
"Fam49b",-0.0878,0.417,0.674
"Traf3ip2",-0.0647,0.417,0.674
"Tead4",0.0678,0.417,0.675
"Nup37",-0.0723,0.417,0.675
"Nrd1",-0.0498,0.417,0.675
"Zyg11a",0.0775,0.417,0.675
"Commd1",-0.0615,0.417,0.675
"Lpo",-0.0807,0.418,0.675
"Dusp19",-0.072,0.418,0.675
"Fgf8",-0.069,0.418,0.675
"Mical2",0.0707,0.418,0.675
"Wnt7b",-0.0512,0.418,0.675
"Pla2g2a",0.0752,0.418,0.675
"Synpo2",0.0683,0.418,0.675
"Pxn",0.0563,0.418,0.675
"Matk",0.0885,0.418,0.675
"Mrpl38",0.0547,0.419,0.676
"Prl6a1",-0.0557,0.419,0.676
"Map4k2",0.0555,0.419,0.676
"Dcaf13",-0.0755,0.419,0.676
"Ccs",-0.0522,0.419,0.676
"Luzp1",0.07,0.419,0.676
"Serping1",0.061,0.419,0.676
"D8Ertd738e",0.0663,0.419,0.676
"Klhl36",-0.0647,0.42,0.677
"Smpd1",0.0703,0.42,0.677
"Ctf1",-0.0595,0.42,0.677
"Vkorc1",0.0567,0.42,0.677
"Foxo4",0.053,0.42,0.677
"Car10",-0.0503,0.42,0.677
"LOC100862446///Ftl1-ps2///Ftl1",-0.0672,0.42,0.677
"Col22a1",0.0562,0.42,0.677
"Polr2m",-0.053,0.42,0.677
"Tyms-ps",0.0588,0.42,0.677
"BC065403",0.057,0.42,0.677
"Pet100",-0.0535,0.42,0.677
"Kbtbd2",0.0602,0.42,0.677
"Manba",-0.106,0.421,0.677
"Tspan2",0.0768,0.421,0.677
"Psmc4",-0.0507,0.421,0.677
"Gm11767",0.065,0.421,0.677
"Fshr",-0.0682,0.421,0.677
"Gpam",-0.0545,0.421,0.677
"Itga8",-0.0663,0.421,0.677
"Glis1",0.0677,0.422,0.678
"Spon2",0.0602,0.422,0.678
"Gpnmb",-0.0607,0.422,0.678
"D230025D16Rik",0.0688,0.422,0.678
"Pabpc2",0.0675,0.422,0.678
"Nudt10///Nudt11",0.0562,0.422,0.678
"Hpca",-0.0567,0.422,0.679
"Th",0.0592,0.422,0.679
"Etv6",-0.0562,0.422,0.679
"Mcpt4",0.0663,0.423,0.679
"Bcl2l2",-0.065,0.423,0.679
"Tgif2lx2///Tgif2lx1",0.0475,0.423,0.679
"AA517650",0.0425,0.423,0.679
"Ttc5",-0.108,0.423,0.679
"Polk",-0.0718,0.423,0.679
"Hsd17b2",-0.0942,0.423,0.679
"Arhgap17",-0.0772,0.423,0.679
"Vmn2r103///Vmn2r97///Vmn2r96///Vmn2r98",-0.078,0.424,0.68
"Rnpep",0.085,0.424,0.68
"Dntt",-0.0535,0.424,0.68
"Arhgap18",-0.0947,0.424,0.68
"Htra3",0.06,0.424,0.68
"Sh2d2a",0.0707,0.424,0.68
"Adam34",0.0675,0.424,0.68
"Map6",0.0683,0.424,0.68
"Osbpl2",-0.0552,0.424,0.68
"Eif2ak4",0.0665,0.425,0.68
"Asb17",0.0542,0.425,0.68
"Psmd1",0.0625,0.425,0.68
"Ifi202b",-0.0767,0.425,0.68
"Oas3",0.0917,0.425,0.681
"Gm13023",-0.0545,0.425,0.681
"Col6a1",-0.0747,0.425,0.681
"Igkv6-14///Igkv6-23///Igk-V28",0.0547,0.425,0.681
"Vpreb1",0.0623,0.425,0.681
"Zbtb16",-0.203,0.425,0.681
"Ggnbp1",0.0505,0.426,0.681
"Rpsa",0.0625,0.426,0.681
"Clec4e",0.065,0.426,0.681
"Ankrd33",0.0812,0.426,0.681
"Actg2",0.0853,0.426,0.681
"Drap1",0.0562,0.426,0.681
"Dhfr",0.0677,0.426,0.681
"Sall2",-0.0518,0.426,0.681
"Olfr1508",-0.0682,0.426,0.682
"Kbtbd4",0.0593,0.427,0.682
"Bmpr2",0.0782,0.427,0.682
"Chrna3",0.0582,0.427,0.682
"Sts",-0.0528,0.427,0.682
"Llgl1",0.0473,0.427,0.682
"Hmx2",0.0678,0.427,0.682
"Igf1r",0.0515,0.428,0.683
"Ppdpf",-0.068,0.428,0.683
"Zfp30",-0.0555,0.428,0.683
"D7Ertd183e",-0.0763,0.428,0.683
"Lncpint",0.0698,0.428,0.683
"Tlr7",0.0578,0.428,0.683
"C79122",0.0508,0.429,0.684
"Rrp12",-0.0473,0.429,0.684
"Man2b1",-0.053,0.429,0.684
"Emid1",0.0818,0.429,0.684
"Kcnj10",0.0592,0.43,0.684
"Olfr66",0.0802,0.43,0.684
"Rrp9",0.048,0.43,0.685
"Mrm2",0.067,0.43,0.685
"Acr",0.0645,0.43,0.685
"Metap1d",0.119,0.43,0.685
"Hoxa7",0.0542,0.43,0.685
"Vmn1r172",-0.0597,0.431,0.685
"Poglut1",-0.0715,0.431,0.685
"Mfsd4b1",-0.0817,0.431,0.685
"Ezh2",-0.0955,0.431,0.685
"Cct2",0.0555,0.431,0.685
"Dll3",0.0628,0.431,0.686
"Klrc1",0.0627,0.431,0.686
"AA517562",-0.0668,0.431,0.686
"Asb15",0.055,0.431,0.686
"AI661453",-0.0607,0.432,0.686
"LOC102638110///LOC102632113///LOC101055754///Gm21560///LOC100861615///Gm3164///Gm3173///Gm38418///Gm3739///Gm16434///Gm3696///Gm3685///Gm3667///Gm3194///Gm3594///Gm3591///Gm3558///Gm10413///Gm3488///Gm3476///Gm10409///Gm3383///Gm3269///Gm3264///Gm3252///Gm3239///Gm3636///Gm3159///Gm3115///Gm3099///Gm3095///Gm3020///Gm3002///Gm10340///Gm2897///Gm2888///Gm10406///Gm16525///Gm3373///Gm9602///Gm3317///Gm6676///Gm6356///Gm6337///2610042L04Rik///Gm5796///Gm16440///D830030K20Rik///4930555G01Rik",0.0652,0.432,0.686
"Tmem100",-0.0543,0.432,0.686
"Sh3gl2",0.0992,0.432,0.686
"Dnah8",-0.0538,0.432,0.687
"Ankrd61",0.0892,0.433,0.687
"Gabra2",-0.051,0.433,0.687
"Myh3",0.0682,0.433,0.687
"Bnip3l-ps///Bnip3l",-0.107,0.433,0.687
"Elp3",-0.0478,0.433,0.687
"Kcnj15",-0.0813,0.433,0.687
"Fbxw5",-0.0553,0.433,0.687
"Pald1///Thbs1",0.0467,0.433,0.687
"Ifng",0.0768,0.433,0.687
"Acat3///Acat2",-0.0727,0.434,0.688
"Trim26",0.079,0.434,0.688
"Nufip1",-0.0512,0.434,0.688
"Npl",0.088,0.434,0.688
"Slc34a2",-0.0733,0.434,0.689
"Plekho2",-0.075,0.434,0.689
"Plpp1",-0.107,0.435,0.689
"Kcne1",0.0653,0.435,0.689
"Pycr2",-0.0448,0.435,0.689
"Huwe1",0.0622,0.435,0.689
"Polb",-0.0758,0.435,0.689
"Cbfb",0.0593,0.435,0.689
"Pank3",0.0813,0.435,0.689
"Ldlrad4",-0.0728,0.435,0.689
"Ier3",-0.0818,0.435,0.689
"Il1a",0.0623,0.436,0.689
"Pnmt",-0.0837,0.436,0.689
"Pgk2",0.0618,0.436,0.689
"Grp",0.072,0.436,0.69
"Srd5a2",0.0593,0.436,0.69
"Slc30a9",-0.0513,0.436,0.69
"Tbx18",0.0623,0.436,0.69
"Stil",-0.0577,0.436,0.69
"Mdp1",0.0772,0.436,0.69
"Wnt2",-0.0613,0.436,0.69
"Adprh",-0.0743,0.436,0.69
"Atp5g2",0.0585,0.436,0.69
"Epx",0.0845,0.437,0.69
"Gpr85",-0.0498,0.437,0.69
"Cpped1",-0.0677,0.437,0.69
"Txnrd3",0.0523,0.437,0.69
"Med15",0.0735,0.437,0.69
"Ear4",-0.072,0.437,0.691
"Pdxk",0.0687,0.438,0.691
"Scap",0.0602,0.438,0.691
"Trpm6",0.0655,0.438,0.691
"Nop16",0.0598,0.438,0.691
"Fbxo38",0.0632,0.438,0.691
"Dnah5",0.0843,0.438,0.691
"Htr3b",0.062,0.438,0.691
"Dazap1",-0.0567,0.439,0.692
"Sfrp2",0.053,0.439,0.692
"Smarca1",0.0572,0.439,0.692
"Dlg5",-0.0825,0.439,0.692
"Hoxa3",-0.0737,0.439,0.693
"Adarb2",0.0623,0.439,0.693
"St3gal5",0.103,0.44,0.693
"Slbp",-0.0658,0.44,0.693
"Nlrp5",-0.0677,0.44,0.693
"Klra5",-0.0785,0.44,0.693
"Fgf12",0.0563,0.44,0.693
"Nr1h3",-0.0643,0.44,0.693
"Peak1",0.0535,0.44,0.693
"Itk",0.075,0.44,0.693
"Ankef1",0.0668,0.44,0.693
"Slc27a4",0.0653,0.44,0.693
"LOC102642017///Uap1",0.0468,0.44,0.693
"Olfr690",0.087,0.44,0.693
"Foxb2",0.0952,0.441,0.693
"Clcn5",-0.0578,0.441,0.693
"Aldh8a1",-0.0538,0.441,0.693
"Fbxl3",0.126,0.441,0.693
"Crim1",-0.074,0.441,0.693
"Dbr1",-0.0672,0.441,0.694
"Trove2",0.0537,0.442,0.694
"Ifnar1",0.0438,0.442,0.694
"Rsph9",0.0613,0.442,0.694
"Treml1",0.0597,0.442,0.694
"Ovol1",0.0988,0.442,0.694
"Qrsl1",-0.0862,0.442,0.694
"Otor",-0.0602,0.442,0.694
"Nicn1",0.0737,0.442,0.694
"Prps1",0.0608,0.442,0.694
"Tcrg-V4",-0.0472,0.442,0.695
"Mfng",0.0568,0.442,0.695
"Mir155hg",-0.0547,0.442,0.695
"Zkscan6",0.0438,0.442,0.695
"Braf",0.0732,0.442,0.695
"Med29",-0.0715,0.443,0.695
"Muc15",0.0665,0.443,0.695
"Hsdl2",0.134,0.443,0.695
"Fam192a",-0.0548,0.443,0.695
"Cacfd1",-0.0777,0.443,0.695
"Ednra",0.0518,0.443,0.696
"Tbc1d24",0.0663,0.444,0.696
"Snx3",-0.047,0.444,0.696
"Cfh",0.268,0.444,0.697
"Pcsk6",-0.0987,0.444,0.697
"Cacnb4",0.0462,0.444,0.697
"Zfp14",0.0618,0.445,0.697
"Mob1a",0.059,0.445,0.697
"Hnrnph3",-0.0733,0.445,0.697
"Usp10",0.0532,0.445,0.697
"Col7a1",0.052,0.445,0.697
"Atp4a",0.0555,0.445,0.697
"Oas1c",-0.0552,0.445,0.697
"Arvcf",-0.0505,0.445,0.697
"Kirrel",0.0562,0.445,0.697
"Tnfrsf17",-0.0587,0.445,0.697
"Faah",0.057,0.445,0.697
"Id3",0.146,0.445,0.697
"Cd244",0.0692,0.445,0.697
"Gm21559///Gm5161///Snrpa",0.0422,0.445,0.697
"Fbxo45",0.0622,0.445,0.697
"Slc1a3",0.0645,0.445,0.697
"4933429H19Rik",-0.0597,0.445,0.697
"Slc12a4",0.08,0.446,0.697
"Slco1a5",0.0607,0.446,0.698
"Tex261",-0.0445,0.446,0.698
"Rad50",0.0603,0.446,0.698
"Prss37",0.0552,0.446,0.698
"Tcp11",0.0558,0.446,0.698
"Strc",-0.0562,0.446,0.698
"Hrh1",-0.0637,0.446,0.698
"Fam169a",0.0462,0.446,0.698
"Pnkd",0.0893,0.447,0.698
"Prkcsh",-0.0483,0.447,0.698
"Pgc",0.0615,0.447,0.698
"Cdc123",0.0463,0.447,0.698
"Cd93",0.0707,0.447,0.698
"Defa15",-0.102,0.447,0.699
"Gm10051///Rpl28",-0.0435,0.447,0.699
"Mfsd14b",-0.0645,0.447,0.699
"Adat3///Scamp4",-0.0757,0.448,0.699
"Vmn1r187///Vmn1r63",0.05,0.448,0.699
"Myg1",0.066,0.448,0.699
"Ryr3",-0.0645,0.448,0.699
"Itih4",0.133,0.448,0.699
"Mgat1",0.0437,0.448,0.699
"Cst9",0.0485,0.448,0.699
"Pdha2",-0.052,0.448,0.699
"Lrat",0.0613,0.448,0.699
"Otud6b",-0.0572,0.448,0.699
"Timm8a2",0.0388,0.449,0.7
"Tmprss5",0.0625,0.449,0.7
"Insr",0.0585,0.449,0.7
"Pspn",0.0587,0.449,0.7
"Parva",-0.0752,0.449,0.7
"Atp6v1b1",0.0688,0.449,0.7
"Csnk2b",0.0433,0.45,0.7
"Kif18a",0.0662,0.45,0.7
"Rmnd5a",-0.0482,0.45,0.7
"Recql4",0.0672,0.45,0.7
"Fhl1",-0.0863,0.45,0.701
"Junb",0.154,0.45,0.701
"Spcs3",-0.0642,0.45,0.701
"En2",0.0502,0.45,0.701
"Prf1",0.0598,0.45,0.701
"Hoxd13",0.0725,0.45,0.701
"Hus1",0.0713,0.451,0.701
"Ctla4",0.0463,0.451,0.701
"St3gal6",0.0723,0.451,0.701
"Inpp5a",0.0767,0.451,0.701
"Nupr1",0.0733,0.451,0.701
"Epgn",-0.0962,0.451,0.701
"Gdpd2",0.0578,0.451,0.701
"Nkapl",0.0562,0.451,0.702
"Caskin2",-0.0613,0.451,0.702
"Med21",0.0852,0.451,0.702
"Yipf7",0.0505,0.452,0.702
"Fam60a",0.08,0.452,0.702
"Gm7008",-0.0667,0.452,0.702
"Cngb3",0.0515,0.452,0.702
"Npy",-0.0517,0.452,0.702
"Zscan5b",0.0397,0.452,0.702
"Cck",0.075,0.452,0.702
"Triobp",-0.0513,0.452,0.702
"Gm7429///Gm6570///Gm6109///Gm5481///Rpl30",-0.056,0.452,0.702
"D1Ertd75e",0.061,0.453,0.703
"Acpp",0.0522,0.453,0.703
"Zfp954",0.0885,0.453,0.703
"4933436I01Rik",-0.053,0.453,0.703
"5730559C18Rik",0.0493,0.453,0.703
"Tap2",0.0742,0.453,0.703
"Arhgef1",0.0672,0.453,0.703
"Exo1",0.0758,0.453,0.703
"Tmem41a",-0.0958,0.453,0.703
"Epm2aip1",0.0607,0.453,0.703
"Vipas39",-0.0528,0.453,0.703
"Lmx1b",0.0552,0.454,0.703
"Lsm10",-0.0757,0.454,0.703
"Zfyve19",0.0515,0.454,0.703
"Jak1",0.05,0.454,0.703
"Lsg1",0.0585,0.454,0.703
"Rnf146",0.0578,0.454,0.703
"Ltb",0.0702,0.454,0.703
"Yipf3",0.0652,0.454,0.703
"Asf1a",-0.0788,0.454,0.704
"Sema6b",0.0622,0.454,0.704
"Ccr1",0.0557,0.455,0.704
"Cspg5",0.0537,0.455,0.704
"Klhl21",0.0715,0.455,0.704
"Rhov",0.0513,0.455,0.704
"Ccnb1ip1",0.0477,0.455,0.704
"Alpk3",0.0522,0.455,0.704
"Xlr4a///Xlr4c///Xlr4b",0.0612,0.455,0.704
"Nrros",0.0693,0.455,0.704
"Mast1",0.055,0.455,0.705
"Pdcl2",-0.045,0.455,0.705
"Pacsin1",0.0618,0.456,0.705
"Tcp10c///Tcp10b///Tcp10a",-0.0615,0.456,0.705
"Gng13",0.0493,0.456,0.705
"Cox8a",-0.0478,0.456,0.705
"Rell2",0.052,0.456,0.705
"Srrm3",0.0483,0.456,0.705
"Gpatch1",-0.0533,0.456,0.705
"Egr2",0.0598,0.456,0.705
"Satb2",0.0545,0.456,0.705
"Slco6c1",0.0542,0.456,0.705
"Sipa1",0.059,0.456,0.705
"Nxph1",0.0642,0.457,0.706
"Nkx6-2",0.0515,0.457,0.706
"Pou5f1",0.0573,0.457,0.706
"Pik3c3",0.0685,0.457,0.706
"Scnn1g",-0.0575,0.457,0.706
"Unc93b1",-0.0615,0.457,0.706
"Capn2",0.0525,0.457,0.706
"Adam8",-0.0683,0.457,0.706
"Kcnk7",0.0742,0.458,0.706
"Myf5",-0.0413,0.458,0.706
"Pstpip1",-0.0623,0.458,0.706
"Tubb3",-0.0587,0.458,0.706
"B3galt1",-0.069,0.458,0.706
"Dtx3",0.0687,0.458,0.706
"Iars2",-0.0718,0.458,0.706
"Oxtr",-0.0642,0.458,0.707
"Fbxl12",-0.0473,0.458,0.707
"Tes",0.092,0.458,0.707
"Camk2b",-0.0698,0.458,0.707
"Imp4",-0.0465,0.458,0.707
"Bicc1",0.0918,0.459,0.707
"Gipc3",-0.0797,0.459,0.707
"Vav2",0.0417,0.459,0.707
"Tpgs1",0.0497,0.459,0.707
"Rab33a",-0.0543,0.459,0.707
"Cptp",-0.0508,0.459,0.707
"Tceb2",-0.0492,0.459,0.707
"Gm8068///1700091H14Rik",0.0558,0.459,0.707
"Rusc2",0.0812,0.459,0.707
"Cep95",0.045,0.459,0.707
"Krba1",-0.055,0.459,0.707
"Gnb4",-0.0513,0.459,0.707
"Dnajc4",0.0592,0.46,0.707
"Pcm1",-0.0673,0.46,0.708
"4933417A18Rik",-0.0737,0.46,0.708
"Pkd1",0.0548,0.46,0.708
"Pde6a",-0.053,0.46,0.708
"Oaz2",-0.0442,0.46,0.708
"Armt1",0.0542,0.46,0.708
"Adamtsl4",-0.0618,0.46,0.708
"Hyal3",0.0498,0.46,0.708
"Cd209f",-0.0498,0.461,0.708
"Jph1",0.0528,0.461,0.708
"Adam9",0.0752,0.461,0.708
"Hbp1",-0.0695,0.461,0.709
"Mmp7",-0.0673,0.461,0.709
"Cyp2c44",0.123,0.462,0.709
"Nog",0.0788,0.462,0.709
"Khk",-0.0765,0.462,0.709
"Nek1",0.0438,0.462,0.709
"Csf2rb",0.0755,0.462,0.709
"Esco1",0.0628,0.462,0.709
"Phkg1",-0.0515,0.462,0.709
"Slc41a1",-0.074,0.462,0.709
"Ncbp1",0.0625,0.462,0.709
"Pth1r",-0.0535,0.462,0.709
"Cd55b",0.0495,0.462,0.709
"Rdh13",0.0632,0.463,0.71
"Pou2f3",0.0627,0.463,0.71
"Ctnnal1",-0.0418,0.463,0.71
"Hoxc8",0.0762,0.463,0.71
"Gm6211",0.0467,0.463,0.71
"Gm15674///Cd55b",0.0462,0.463,0.71
"Nucb2",0.0638,0.464,0.71
"Hist1h3f",0.0502,0.464,0.71
"Timm9",0.0518,0.464,0.71
"Abca3",-0.109,0.464,0.71
"Lgals4",-0.131,0.464,0.71
"Gas1",0.0697,0.464,0.71
"Zrsr2",-0.0622,0.464,0.71
"Thrb",0.0625,0.464,0.71
"Abo",0.0473,0.464,0.71
"Slc39a7",0.0597,0.464,0.71
"Tnfrsf14",0.0773,0.464,0.71
"Rhot2",0.0517,0.464,0.711
"Hdac6",-0.0515,0.464,0.711
"Fam83h",0.0628,0.465,0.711
"Papolb",0.0853,0.465,0.711
"Grhpr",0.0442,0.465,0.711
"Acta2",-0.0667,0.465,0.711
"AU040096",0.0508,0.465,0.711
"Nfia",-0.074,0.465,0.711
"Gm12538///Ormdl3",-0.0822,0.465,0.711
"Tcl1b4",0.0415,0.465,0.711
"Lcmt1",0.0533,0.465,0.711
"Sos2",0.0713,0.466,0.711
"Resp18",0.0573,0.466,0.711
"Ctsm",-0.0488,0.466,0.711
"Nde1",-0.0663,0.466,0.711
"Ndufv1",-0.053,0.466,0.711
"Traip",0.0553,0.466,0.711
"Rock2",-0.0702,0.466,0.712
"Trappc4",-0.0483,0.467,0.712
"Slmap",-0.0527,0.467,0.712
"Arhgap29",0.054,0.467,0.712
"Erlec1",-0.0518,0.467,0.712
"Snn",0.0588,0.467,0.713
"Fgf2",0.0658,0.467,0.713
"Grk6",0.058,0.468,0.713
"Rad51b",0.0733,0.468,0.713
"Gm11397///Serpinb9g///Serpinb9e///Serpinb9f",-0.0457,0.468,0.713
"Rad1",-0.0697,0.468,0.713
"Mettl7a2",-0.215,0.468,0.713
"Ipo7",0.0593,0.468,0.713
"Ick",0.066,0.469,0.713
"Vac14",0.0873,0.469,0.714
"Pxmp4",0.0693,0.469,0.714
"Abca8b",0.106,0.469,0.714
"Tbpl1",0.063,0.469,0.714
"Elac1",0.0833,0.469,0.714
"Zfp61",-0.0582,0.469,0.714
"Lin7c",-0.077,0.469,0.714
"Cib1",-0.0487,0.469,0.714
"Sh3pxd2a",0.0572,0.47,0.714
"Abi1",0.0633,0.47,0.714
"A230050P20Rik",0.0688,0.47,0.714
"St14",0.0615,0.47,0.714
"Ist1",0.0807,0.47,0.714
"Ddx59",0.0523,0.47,0.714
"Lcp2",0.0703,0.47,0.714
"Ctsk",0.0597,0.47,0.714
"Lipc",0.0723,0.47,0.714
"Zfpm2",-0.0478,0.47,0.714
"Kcna7",0.0485,0.47,0.714
"Igf1os",0.047,0.47,0.714
"LOC101056240///Sumo2",-0.0512,0.47,0.714
"Mapkapk5",0.0505,0.47,0.714
"Rbp7",-0.0692,0.47,0.714
"Vta1",-0.0463,0.47,0.714
"Plod2",-0.0627,0.47,0.714
"Wnt9b",0.0635,0.47,0.714
"Xrcc5",-0.0752,0.47,0.715
"Api5",0.0538,0.47,0.715
"Nipsnap1",-0.0625,0.471,0.715
"Trim11",-0.078,0.471,0.715
"Ldb1",-0.0593,0.471,0.715
"Gcc1",0.0848,0.471,0.715
"Mrps5",-0.0592,0.471,0.715
"Tbx2",0.0548,0.472,0.715
"Slc29a4",-0.058,0.472,0.716
"Rnf19a",0.0662,0.472,0.716
"Rpusd1",0.0382,0.472,0.716
"Ly96",0.068,0.472,0.716
"Zcchc10",0.05,0.472,0.716
"Il7",0.053,0.472,0.716
"Gm20186",0.0895,0.472,0.716
"LOC100043315",0.046,0.473,0.716
"Pnliprp1",-0.284,0.473,0.716
"Ppp6r3",0.0543,0.473,0.717
"Cfp",0.0967,0.473,0.717
"Psapl1",0.0648,0.473,0.717
"Nup210",-0.0768,0.473,0.717
"Uggt2",0.0607,0.474,0.717
"Vsx2",-0.0427,0.474,0.717
"Ccdc64",0.058,0.474,0.717
"Hspa4l",-0.0692,0.474,0.717
"Aurkb",0.0612,0.474,0.717
"Rgl1",-0.0667,0.474,0.717
"D2Ertd239e",0.0568,0.474,0.718
"Mfsd6l",-0.0762,0.474,0.718
"Csgalnact1",0.0418,0.474,0.718
"Prph2",0.0515,0.475,0.718
"Slc38a5",-0.0512,0.475,0.718
"Mtx1",-0.041,0.475,0.718
"Ubl7",0.051,0.475,0.718
"Rgs7",-0.0468,0.475,0.718
"Clnk",0.0507,0.475,0.719
"Htr4",0.0657,0.475,0.719
"Gm14279///Gm10237///Gm10029///Gm11810///Ino80///Rpl35a",0.0405,0.475,0.719
"Utp11l",-0.054,0.476,0.719
"Pygo2",0.0552,0.476,0.719
"Adgrl1",0.0487,0.476,0.719
"Efna3",0.067,0.476,0.719
"Itpka",0.0808,0.476,0.719
"Cep112",0.0543,0.476,0.719
"Emc8",-0.0773,0.476,0.719
"Ercc1",-0.0703,0.476,0.719
"Asf1b",0.0903,0.476,0.719
"Ttc19",0.0455,0.476,0.719
"Maf",0.058,0.476,0.719
"Lama1",0.0498,0.477,0.719
"Paqr7",-0.0512,0.477,0.719
"Rpgr",-0.0388,0.477,0.719
"Fgfbp1",0.0983,0.477,0.719
"4922502D21Rik",0.0733,0.477,0.719
"Hist2h2aa2",-0.0492,0.477,0.719
"Hmx1",-0.0513,0.477,0.72
"Agtr2",-0.0577,0.477,0.72
"Nefm",0.0527,0.478,0.72
"Mip",0.0625,0.478,0.72
"Rab6a",-0.0505,0.478,0.72
"Gm9861///Litaf",0.0518,0.478,0.72
"Arfrp1",-0.0592,0.478,0.72
"Gpr27",0.0488,0.478,0.72
"Irs4",0.0662,0.478,0.72
"Bpifa2",0.0583,0.478,0.72
"Crebbp",0.0612,0.478,0.72
"Gm13202///Chchd2",0.0502,0.478,0.72
"Dbp",-0.213,0.478,0.72
"Nos3",0.067,0.478,0.72
"Thpo",0.066,0.478,0.72
"Gabra3",-0.0682,0.478,0.72
"Hypk",-0.0483,0.478,0.72
"Evc",-0.0812,0.478,0.72
"Gtpbp2",0.0465,0.479,0.72
"Pigm",0.0737,0.479,0.721
"Prkcb",-0.0495,0.479,0.721
"Gm10228",0.0473,0.479,0.721
"Cyct",-0.0398,0.479,0.721
"Plek2",-0.111,0.479,0.721
"Sema4f",0.0455,0.48,0.721
"Uox",-0.0462,0.48,0.721
"Cks2",-0.0708,0.48,0.722
"A530058N18Rik",0.0442,0.48,0.722
"Kcnn1",0.0583,0.48,0.722
"Lman1l",-0.0537,0.48,0.722
"Tfec",-0.0507,0.48,0.722
"Copa",-0.0567,0.481,0.722
"Rida",0.0813,0.481,0.722
"Akr7a5",0.0507,0.481,0.722
"Saal1",0.0468,0.481,0.722
"Tmem11",0.06,0.481,0.722
"Gm33301",0.0588,0.481,0.722
"Lamp5",0.065,0.481,0.722
"Hr",-0.051,0.481,0.722
"Arhgef3",0.0605,0.481,0.722
"Cd47",0.0407,0.481,0.722
"Chaf1b",-0.0522,0.481,0.722
"Ptgfrn",0.0958,0.481,0.722
"Tomm40l",-0.0662,0.482,0.722
"Fbxl6",0.0645,0.482,0.722
"Fam110a",-0.077,0.482,0.722
"B4galt2",-0.0455,0.482,0.722
"Rab12",0.0532,0.482,0.722
"Ptprf",0.048,0.482,0.722
"Zfp275",0.0565,0.482,0.722
"Mnx1",-0.0585,0.482,0.722
"Cntnap1",0.0432,0.482,0.722
"Stk11ip",-0.0687,0.482,0.723
